"game_pk","game_date","fielding_team","matchup.pitcher.fullName","Strikeout","Groundout","Flyout","Single","Walk","Home Run","Lineout","Pop Out","Double","Sac Bunt","Intent Walk","Hit By Pitch","Triple","Field Error","Bunt Groundout","Fielders Choice Out","Bunt Pop Out","Double Play","Catcher Interference","Leadoff_Innings","cAB","cH","c1B","c2B","c3B","cHR","cBB","cIBB","cHBP","cSO","cGO","cFO","cPO","cLD","cLO_BF","BAA","OBP","SLG","OPS","wOBA","K_pct","BB_pct","HR_pct","GO_pct","FB_pct","LD_pct","G"
778552,"2025-03-28","Arizona Diamondbacks","Bryce Jarvis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,1,NA,NA,0.697,0,100,0,0,0,0,1
778552,"2025-03-28","Arizona Diamondbacks","Jalen Beeks",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,1
778552,"2025-03-28","Arizona Diamondbacks","Ryne Nelson",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0.891,0,0,0,0,0,0,1
778552,"2025-03-28","Arizona Diamondbacks","Zac Gallen",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,75,0,0,0,25,0,1
778543,"2025-03-29","Arizona Diamondbacks","Joe Mantiply",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,1
778543,"2025-03-29","Arizona Diamondbacks","Merrill Kelly",0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,2,0,0,0,1,1,1,1,6,0,0.333,0,0.333,0.232,0,33.33,0,16.67,33.33,16.67,1
778543,"2025-03-29","Arizona Diamondbacks","Shelby Miller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,50,0,0,0,50,0,1
778515,"2025-03-30","Arizona Diamondbacks","A.J. Puk",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1.268,0,0,0,0,0,0,1
778532,"2025-03-30","Arizona Diamondbacks","Brandon Pfaadt",1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,0,0,0,0,0,0,1,2,0,1,0,6,0.333,0.333,0.333,0.666,0.297,16.67,0,0,33.33,16.67,0,1
778532,"2025-03-30","Arizona Diamondbacks","Bryce Jarvis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0.5,0,0.5,0.348,50,50,0,0,0,0,2
778515,"2025-03-30","Arizona Diamondbacks","Eduardo Rodriguez",2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,1,2,0,0,2,0,0,1,0,6,0.25,0.5,1,1.5,0.578,33.33,33.33,16.67,0,16.67,0,1
778532,"2025-03-30","Arizona Diamondbacks","Jalen Beeks",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0.333,0.333,1.333,1.666,0.691,0,0,33.33,66.67,0,0,2
778515,"2025-03-30","Arizona Diamondbacks","Joe Mantiply",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0.5,0.5,0.5,1,0.446,50,0,0,0,0,0,2
778532,"2025-03-30","Arizona Diamondbacks","Justin Martinez",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,1
778515,"2025-03-30","Arizona Diamondbacks","Ryan Thompson",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,1
778492,"2025-04-01","Arizona Diamondbacks","A.J. Puk",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0.5,0.5,1,1.5,0.634,50,0,0,0,0,0,2
778492,"2025-04-01","Arizona Diamondbacks","Corbin Burnes",3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,1,1,0,0,3,0,0,0,0,5,0.25,0.4,1,1.4,0.554,60,20,20,0,0,0,1
778492,"2025-04-01","Arizona Diamondbacks","Jalen Beeks",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,2,1,0,0,4,0.25,0.25,1,1.25,0.518,0,0,25,50,25,0,3
778492,"2025-04-01","Arizona Diamondbacks","Justin Martinez",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,50,0,0,50,0,0,2
778492,"2025-04-01","Arizona Diamondbacks","Shelby Miller",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,33.33,0,0,0,66.67,0,2
778484,"2025-04-02","Arizona Diamondbacks","Joe Mantiply",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0.333,0.333,0.333,0.666,0.297,66.67,0,0,0,0,0,3
778484,"2025-04-02","Arizona Diamondbacks","Ryan Thompson",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0.5,0.5,0.5,1,0.446,0,0,0,50,0,0,2
778484,"2025-04-02","Arizona Diamondbacks","Zac Gallen",4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1,1,0,0,0,0,0,0,7,1,2,0,0,11,0.091,0.091,0.091,0.182,0.081,63.64,0,0,9.09,18.18,0,2
778466,"2025-04-03","Arizona Diamondbacks","Jalen Beeks",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,3,1,0,0,5,0.2,0.2,0.8,1,0.414,0,0,20,60,20,0,4
778466,"2025-04-03","Arizona Diamondbacks","Merrill Kelly",1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,1,0,1,0,0,2,0,0,1,1,3,1,1,10,0.125,0.3,0.25,0.55,0.266,10,20,0,10,40,10,2
778466,"2025-04-03","Arizona Diamondbacks","Ryne Nelson",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,1,1,0,0,4,0.5,0.5,0.5,1,0.446,0,0,0,25,25,0,2
778466,"2025-04-03","Arizona Diamondbacks","Shelby Miller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,0,0,0,0,50,0,0,0,50,0,3
778457,"2025-04-04","Arizona Diamondbacks","A.J. Puk",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,1,1,0,0,0,3,0.333,0.333,0.667,1,0.423,33.33,0,0,33.33,0,0,3
778457,"2025-04-04","Arizona Diamondbacks","Brandon Pfaadt",2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,12,4,3,0,0,1,0,0,0,3,2,1,1,1,12,0.333,0.333,0.583,0.916,0.395,25,0,8.33,16.67,16.67,8.33,2
778457,"2025-04-04","Arizona Diamondbacks","Justin Martinez",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,66.67,0,0,33.33,0,0,3
778457,"2025-04-04","Arizona Diamondbacks","Shelby Miller",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,1,1,1,0,5,0,0,0,0,0,40,0,0,20,40,0,4
778452,"2025-04-05","Arizona Diamondbacks","Bryce Jarvis",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,1,0,0,4,0,0.5,0,0.5,0.348,25,50,0,0,25,0,3
778452,"2025-04-05","Arizona Diamondbacks","Eduardo Rodriguez",3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,2,0,0,1,1,2,0,0,5,0,1,1,0,11,0.222,0.364,0.778,1.142,0.461,45.45,18.18,9.09,0,18.18,0,2
778452,"2025-04-05","Arizona Diamondbacks","Joe Mantiply",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,3,0,0,0,0,4,0.25,0.25,0.25,0.5,0.223,75,0,0,0,0,0,4
778429,"2025-04-06","Arizona Diamondbacks","Corbin Burnes",0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,8,3,1,1,0,1,2,0,0,3,1,0,1,0,10,0.375,0.5,0.875,1.375,0.562,30,20,10,10,10,0,2
778429,"2025-04-06","Arizona Diamondbacks","Jalen Beeks",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,1,0,0,0,2,3,1,0,0,7,0.143,0.143,0.571,0.714,0.296,28.57,0,14.29,42.86,14.29,0,5
778429,"2025-04-06","Arizona Diamondbacks","Joe Mantiply",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,0,0,0,0,0,0,3,0,0,0,0,5,0.4,0.4,0.4,0.8,0.356,60,0,0,0,0,0,5
