"game_date","fielding_team","G","ingame_leadoff_walks","runs_scored_after_walk","tot_walks","run_scored_num","run_scored_tot","run_scored_pct"
"2025-03-28","Arizona Diamondbacks",1,1,2,1,1,1,100
"2025-03-29","Arizona Diamondbacks",2,2,1,3,1,2,66.7
"2025-03-30","Arizona Diamondbacks",3,2,2,5,1,3,60
"2025-03-30","Arizona Diamondbacks",4,0,0,5,0,3,60
"2025-04-01","Arizona Diamondbacks",5,1,0,6,0,3,50
"2025-04-02","Arizona Diamondbacks",6,0,0,6,0,3,50
"2025-04-03","Arizona Diamondbacks",7,0,0,6,0,3,50
"2025-04-04","Arizona Diamondbacks",8,0,0,6,0,3,50
"2025-04-05","Arizona Diamondbacks",9,1,0,7,0,3,42.9
"2025-04-06","Arizona Diamondbacks",10,1,2,8,1,4,50
"2025-04-08","Arizona Diamondbacks",11,0,0,8,0,4,50
"2025-04-09","Arizona Diamondbacks",12,1,0,9,0,4,44.4
"2025-04-09","Arizona Diamondbacks",13,0,0,9,0,4,44.4
"2025-04-12","Arizona Diamondbacks",14,1,0,10,0,4,40
"2025-04-13","Arizona Diamondbacks",15,0,0,10,0,4,40
"2025-04-13","Arizona Diamondbacks",16,0,0,10,0,4,40
"2025-04-15","Arizona Diamondbacks",17,0,0,10,0,4,40
"2025-04-16","Arizona Diamondbacks",18,0,0,10,0,4,40
"2025-04-17","Arizona Diamondbacks",19,1,0,11,0,4,36.4
"2025-04-18","Arizona Diamondbacks",20,0,0,11,0,4,36.4
"2025-04-19","Arizona Diamondbacks",21,3,6,14,1,5,35.7
"2025-04-20","Arizona Diamondbacks",22,1,0,15,0,5,33.3
"2025-04-23","Arizona Diamondbacks",23,1,0,16,0,5,31.2
"2025-04-24","Arizona Diamondbacks",24,0,0,16,0,5,31.2
"2025-04-25","Arizona Diamondbacks",25,0,0,16,0,5,31.2
"2025-04-26","Arizona Diamondbacks",26,1,0,17,0,5,29.4
"2025-04-27","Arizona Diamondbacks",27,0,0,17,0,5,29.4
"2025-04-27","Arizona Diamondbacks",28,2,0,19,0,5,26.3
"2025-04-29","Arizona Diamondbacks",29,2,3,21,1,6,28.6
"2025-04-30","Arizona Diamondbacks",30,1,0,22,0,6,27.3
"2025-05-01","Arizona Diamondbacks",31,0,0,22,0,6,27.3
"2025-05-02","Arizona Diamondbacks",32,0,0,22,0,6,27.3
"2025-05-03","Arizona Diamondbacks",33,0,0,22,0,6,27.3
"2025-05-04","Arizona Diamondbacks",34,2,1,24,1,7,29.2
"2025-05-06","Arizona Diamondbacks",35,1,2,25,1,8,32
"2025-05-07","Arizona Diamondbacks",36,0,0,25,0,8,32
"2025-05-07","Arizona Diamondbacks",37,1,0,26,0,8,30.8
"2025-05-09","Arizona Diamondbacks",38,2,0,28,0,8,28.6
"2025-05-10","Arizona Diamondbacks",39,1,5,29,1,9,31
"2025-05-11","Arizona Diamondbacks",40,0,0,29,0,9,31
"2025-05-11","Arizona Diamondbacks",41,0,0,29,0,9,31
"2025-05-13","Arizona Diamondbacks",42,1,0,30,0,9,30
"2025-05-14","Arizona Diamondbacks",43,2,4,32,1,10,31.2
"2025-05-14","Arizona Diamondbacks",44,2,0,34,0,10,29.4
"2025-05-17","Arizona Diamondbacks",45,0,0,34,0,10,29.4
"2025-05-18","Arizona Diamondbacks",46,1,0,35,0,10,28.6
"2025-05-18","Arizona Diamondbacks",47,1,4,36,1,11,30.6
"2025-03-28","Athletics",1,2,1,2,1,1,50
"2025-03-29","Athletics",2,1,0,3,0,1,33.3
"2025-03-30","Athletics",3,0,0,3,0,1,33.3
"2025-03-30","Athletics",4,3,1,6,1,2,33.3
"2025-04-01","Athletics",5,1,4,7,1,3,42.9
"2025-04-02","Athletics",6,1,4,8,1,4,50
"2025-04-02","Athletics",7,0,0,8,0,4,50
"2025-04-04","Athletics",8,1,0,9,0,4,44.4
"2025-04-06","Athletics",9,0,0,9,0,4,44.4
"2025-04-06","Athletics",10,0,0,9,0,4,44.4
"2025-04-08","Athletics",11,0,0,9,0,4,44.4
"2025-04-09","Athletics",12,0,0,9,0,4,44.4
"2025-04-09","Athletics",13,0,0,9,0,4,44.4
"2025-04-12","Athletics",14,1,0,10,0,4,40
"2025-04-12","Athletics",15,1,0,11,0,4,36.4
"2025-04-13","Athletics",16,2,1,13,1,5,38.5
"2025-04-15","Athletics",17,0,0,13,0,5,38.5
"2025-04-16","Athletics",18,0,0,13,0,5,38.5
"2025-04-17","Athletics",19,1,0,14,0,5,35.7
"2025-04-19","Athletics",20,0,0,14,0,5,35.7
"2025-04-19","Athletics",21,0,0,14,0,5,35.7
"2025-04-20","Athletics",22,0,0,14,0,5,35.7
"2025-04-23","Athletics",23,2,2,16,1,6,37.5
"2025-04-24","Athletics",24,0,0,16,0,6,37.5
"2025-04-25","Athletics",25,0,0,16,0,6,37.5
"2025-04-26","Athletics",26,1,3,17,1,7,41.2
"2025-04-26","Athletics",27,1,0,18,0,7,38.9
"2025-04-27","Athletics",28,1,0,19,0,7,36.8
"2025-04-29","Athletics",29,1,0,20,0,7,35
"2025-04-30","Athletics",30,2,1,22,1,8,36.4
"2025-05-01","Athletics",31,0,0,22,0,8,36.4
"2025-05-01","Athletics",32,1,0,23,0,8,34.8
"2025-05-02","Athletics",33,0,0,23,0,8,34.8
"2025-05-03","Athletics",34,2,2,25,1,9,36
"2025-05-04","Athletics",35,0,0,25,0,9,36
"2025-05-06","Athletics",36,1,4,26,1,10,38.5
"2025-05-07","Athletics",37,0,0,26,0,10,38.5
"2025-05-07","Athletics",38,0,0,26,0,10,38.5
"2025-05-10","Athletics",39,1,0,27,0,10,37
"2025-05-10","Athletics",40,2,1,29,1,11,37.9
"2025-05-11","Athletics",41,0,0,29,0,11,37.9
"2025-05-14","Athletics",42,1,0,30,0,11,36.7
"2025-05-15","Athletics",43,1,1,31,1,12,38.7
"2025-05-16","Athletics",44,1,3,32,1,13,40.6
"2025-05-17","Athletics",45,1,3,33,1,14,42.4
"2025-05-18","Athletics",46,0,0,33,0,14,42.4
"2025-05-18","Athletics",47,1,1,34,1,15,44.1
"2025-03-27","Atlanta Braves",1,0,0,0,0,0,NA
"2025-03-29","Atlanta Braves",2,0,0,0,0,0,NA
"2025-03-29","Atlanta Braves",3,0,0,0,0,0,NA
"2025-03-30","Atlanta Braves",4,2,3,2,1,1,50
"2025-04-01","Atlanta Braves",5,1,2,3,1,2,66.7
"2025-04-02","Atlanta Braves",6,0,0,3,0,2,66.7
"2025-04-03","Atlanta Braves",7,2,2,5,1,3,60
"2025-04-04","Atlanta Braves",8,0,0,5,0,3,60
"2025-04-05","Atlanta Braves",9,0,0,5,0,3,60
"2025-04-08","Atlanta Braves",10,0,0,5,0,3,60
"2025-04-09","Atlanta Braves",11,1,0,6,0,3,50
"2025-04-10","Atlanta Braves",12,2,0,8,0,3,37.5
"2025-04-11","Atlanta Braves",13,1,0,9,0,3,33.3
"2025-04-12","Atlanta Braves",14,1,0,10,0,3,30
"2025-04-13","Atlanta Braves",15,3,2,13,1,4,30.8
"2025-04-14","Atlanta Braves",16,1,0,14,0,4,28.6
"2025-04-15","Atlanta Braves",17,0,0,14,0,4,28.6
"2025-04-16","Atlanta Braves",18,0,0,14,0,4,28.6
"2025-04-18","Atlanta Braves",19,1,1,15,1,5,33.3
"2025-04-19","Atlanta Braves",20,1,1,16,1,6,37.5
"2025-04-20","Atlanta Braves",21,1,0,17,0,6,35.3
"2025-04-21","Atlanta Braves",22,0,0,17,0,6,35.3
"2025-04-22","Atlanta Braves",23,1,0,18,0,6,33.3
"2025-04-23","Atlanta Braves",24,3,1,21,1,7,33.3
"2025-04-26","Atlanta Braves",25,0,0,21,0,7,33.3
"2025-04-27","Atlanta Braves",26,1,1,22,1,8,36.4
"2025-04-27","Atlanta Braves",27,2,4,24,1,9,37.5
"2025-04-29","Atlanta Braves",28,0,0,24,0,9,37.5
"2025-04-30","Atlanta Braves",29,0,0,24,0,9,37.5
"2025-04-30","Atlanta Braves",30,0,0,24,0,9,37.5
"2025-05-02","Atlanta Braves",31,1,0,25,0,9,36
"2025-05-03","Atlanta Braves",32,0,0,25,0,9,36
"2025-05-04","Atlanta Braves",33,1,1,26,1,10,38.5
"2025-05-05","Atlanta Braves",34,0,0,26,0,10,38.5
